percobaan,jumlah_host,waktu_scan,cpu_avg_persen,cpu_max_persen,ram_avg_mb,ram_max_mb,ram_min_mb,jumlah_sampel
1,6,98.77,1.21,28.1,34.79,36.09,29.94,198
2,6,23.73,4.02,18.7,36.96,37.19,35.52,48
3,6,23.74,4.88,21.9,36.96,37.18,35.84,48
4,6,23.73,5.26,21.8,36.97,37.19,35.84,48
5,6,23.73,5.26,25.0,37.1,37.32,35.84,48
