percobaan,warm_up,jumlah_host,waktu_discovery,waktu_scan,waktu_total,waktu_per_host
warm-up,True,6,17.63,81.36,98.98,16.5
1,False,6,17.67,6.13,23.8,3.97
2,False,6,17.62,6.14,23.75,3.96
3,False,6,17.62,6.13,23.75,3.96
4,False,6,17.61,6.13,23.74,3.96
5,False,6,17.62,6.12,23.74,3.96
